2001
 Rillieux, N
"Battle Hymn of the Republic" to Chilean independence
'Od' Odic Force
'Winnie the Pooh'
(D)ARPA
1855 Paris Exposition
1862 Great London Exposition
1867 Paris Expo Universelle
1878 Paris Exposition Universelle
1915 Panama-Pacific Expo
1933 Chicago World's Fair
1939 New York Fair
1964 New York Fair
3-ring circus
Abel
Abelard P
Aberhart W
Abigail Folger
Abolition
Abulafia
Accademia del Cimento
Acheson, EG
Achromatic Lens
Ackermann R
ACLU Am Civil Liberties Union
Adam, Robert
Adams JQ
Adams, Douglas
Adams, John
Adams, William
Addison, Joseph
Addison, Thomas Dr.
Adelard of Bath
Adler, Cyrus
Adler, Felix
Adler, Jacob
Adler, Stella
Agassiz
Agoult
Agricola
AI Artificial Intelligence
Air Conditioning
Air Quality
Airbrake
Airplane
Airy
Airy, George B.
Al Battani
Al Farghani
Al Hazen
Al-Farghani
Alaska Purchase
Albani
Alberti
Albertus Magnus
Alchemy
Alcock & Brown
Alcohol
Alcott LM
Alcubierre
Aldus Manutius
Alexander the Great
Alexander VI
Alfonso VI
Alfonso X
Algarotti
Algarotti, F
Algorithm
Allen
Allen, Thomas
Allgemeine Zeitung
Allgood
Allston
Allston, W
Alternative Energy
Amazon Rainforest
American Express
American Philosophical Society
American Revolution
Amp
Ampere J
Ampere, Andre
amplifier
Amundsen
Anacreon
Anaesthesia
analytical engine
Ancient India / Hindu
Andersen HC
Andral
Andreae
andrew johnson, Pres
Anesthetic
Aniline Dye
Anselm of Bec
Anson
Anson, G Adm.
Anthony, SB
Anthracene
Anthracite Coal
Anti-handshake movements
Antikythera mechanism
Antiquities
Antiseptic
Apian
Apian, Peter
Apollinaire
Appert
Apple Computer
Appleton
Appleton Layer
Appleton, Edward
Aquinas
Arabian Horse
Arago
Arbuthnot
Arbuthnot, John
Arc Light
Archer, Wm
Arden, Elizabeth
Aretino, P
Argand
Argand, F-P
Argelander
Argelander, FWA
Aristotle
Arkwright, Richard
Arlen H
Armansperg
Arminius
Armstrong, Louis
Armstrong, Wm G
Arnauld, A
Arnim A von
Arnim B von
Arnold M
Arnold, Benedict Gen
Arnold, Joseph
Aronson, B
Arp
arrhenius, Svante
Arrighi
Arrighi, L
Arrol, Wm Sir
Artillery Cannon
Ashton Sir F
aspirin
Assassination
Assembly Line
astaire. Fred
Astor, John J
Astrology
Atalia Mohamed
ATM
atom bomb
Attila the Hun
Aubrey
Aubrey, John
Auden WH
Audimeter
audion
Audion / vacuum tube
Audubon, John J
Auenbrugger
Auenbrugger, L
Austen J
automobile
Avatars
Average Person
Averroes
Avicenna
Avogadro
Avogadro Number
Ayer FW
Ayrton WE
Azzolino
Babbage, Charles
Babbitt I
Baby Carriage
Bach CPE
Bach JS
Bache
Bacon F
Bacon, Francis
Bacon, Roger
Baden-Powell Sir GS
Baden-Powell Sir RSS
Bader, Douglas
Baer von
Baeyer A von
Baikonur cosmodrome
Bailey WT
Baily EH
Baird JL
Baker, Benjamin
Baker, Josephine
Balanchine
Balfour, Arthur
Baliani
Baliani, GB
Ball
Ball bearings
Ball, AJ
balloon
Ballpoint pen
Balzac
Banana
Bancroft, Ed
Bancroft, George
Bankes, William
Banks, J Sir
Bantock Sir G
Barbed Wire
Barber, Samuel
Barberini Family
Barberini, Cornelia
Barberini, Urbano Pope
Barcode
Bardeen, John
Barnum, PT
Barometer
Baron von Reichenbach, Carl
Barrow
Barrow, I
Barry, C Sir
Barrymore
Bartholin E
Bartholin T
Bartlett, Josiah
Bartok
Bartok, B
